献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
儿子 ||| 人 家庭 小辈 直系 男 ||| 父母 对 自己 所 生育 的 男性 后代 的 指称 。
儿子 ||| 人 家庭 小辈 直系 男 ||| 第一代 的 男性 后代 。
久而久之 ||| 长时间 ||| 表 经过 一段 长时间 而 逐渐 改变 。
方便 ||| 排泄 ||| 上 厕所 、 大小便 。
方便 ||| 性能 境况 便 ||| 形容 比喻 有 多余 可 应用 的 金钱 ， 常 与 ‘ 手头 ’ 连用 。
方便 ||| 便利 ||| 有利于 特定 对象 达成 目的 的 事 。
方便 ||| 方便 ||| 使 特定 事件 的 目的 容易 达到 。
方便 ||| 方便 ||| 形容 容易 达到 使用 目的 。
方便 ||| 方便 ||| 形容 委婉 表达 主事者 有所 顾忌 。 多 用于 负面 语境 。
辅仁 ||| 辅仁 ||| 辅仁大学 的 建筑物 及 建筑物 所在 的 位置 。 ‘ 辅仁大学 ’ 的 缩写 。
辅仁 ||| 辅仁 ||| 台湾 私立 大学 之一 ， 位于 台北县 新庄市 。 ‘ 辅仁大学 ’ 的 缩写 。
通商 ||| 交往 商业 ||| 国家 或 地区 间 互相 往来 贸易 。
吐出 ||| 吐出 ||| 比喻 从 取物 孔里 出来 。
吐出 ||| 吐出 ||| 比喻 退还 不应得 的 钱财 。
吐出 ||| 吐出 ||| 从 管子 里 出来 。
吐出 ||| 吐出 ||| 东西 从 体内 经由 嘴里 排出 。
吐出 ||| 吐出 ||| 东西 从 嘴里 出来 。
吐出 ||| 吐出 ||| 以 口语 媒介 表达 出后述 讯息 。
岂止 ||| 功能词 ||| 连接 两个 以上 程度 渐进 且 超过 预期 的 选项 。
岂止 ||| 岂止 ||| 表 超过 后 述 范围 ， 用于 反诘 。
跑掉 ||| 跑掉 ||| 离开 原有 的 位置 。
跑掉 ||| 跑掉 ||| 离开 原有 社会关系 上 的 位置 。
跑掉 ||| 跑掉 ||| 偏离 应有 的 标准 或 规格 。
跑掉 ||| 跑掉 ||| 强调 离开 的 动作 。
讥 ||| 嘲讽 ||| 嘲笑 讽刺 特定 对象 。
讥 ||| 嘲讽 ||| 嘲笑 讽刺 特定 对象 的 内容 。
慢慢 ||| 慢慢 ||| 表 递增 或 递减 的 变化 。
慢慢 ||| 慢慢 ||| 形容 事件 或 事件 的 特定 段落 进行 的 时间 长 。
异质性 ||| 异质性 ||| 特定 对象 可 与 其他 同类 对象 显现出 明显 差异 并 有区 辨性 的 性质 。
有 ||| 经受 ||| 给予 对方 的 回应 ， 通常 用于 点名 。
有 ||| 心怀 ||| 断定 特定 对象 有 后述 性质 。
有 ||| 存在 ||| 后 述 对象 存在 。
有 ||| 有 ||| 维持 拥有 的 状态 。
有 ||| 有 ||| 表 肯定 事件 的 发生 。
有 ||| 有 ||| 表 一部 份 。
有 ||| 有 ||| 达到 后 述 程度 。
有 ||| 有 ||| 达到 后 述 数量 。
有 ||| 有 ||| 引介 不 指名 的 后述 单一 对象 。
伤 ||| 损害 ||| 比喻 使 后述 物体 表面 或 功能 受到 损害 。
伤 ||| 损害 ||| 比喻 使 特定 对象 的 心理 状态 或 名誉 受到 损害 。
伤 ||| 损害 ||| 生物 器官 受到 损害 。
伤 ||| 损害 ||| 生物 器官 受到 损害 的 部分 。
伤 ||| 损害 ||| 使 后述 身体 器官 受到 损害 。
伤 ||| 损害 ||| 形容 比喻 容易 使 后述 对象 的 心理 状态 或 名誉 受到 损害 。
伤 ||| 损害 ||| 形容 比喻 容易 使 后述 物体 表面 或 功能 受到 损害 。
伤 ||| 损害 ||| 形容 容易 使 生物 器官 受到 损害 的 。
伤 ||| 厌恶 ||| 表因 过度 食用 同样 的 食物 而 感到 厌烦 。
伤 ||| 悲哀 ||| 因为 后 述 事件 的 引起 而 感到 悲伤 。
伤 ||| 伤 ||| 比喻 大量 耗损 后 述 对象 。
伤 ||| 伤 ||| 比喻 对 后述 社会 共同 的 标准 或 利益 造成 伤害 。
伤 ||| 伤 ||| 形容 比喻 容易 大量 耗损 后 述 对象 的 。
伤 ||| 伤 ||| 姓 。
绿 ||| 绿 ||| 形容 颜色 为 绿 的 ， 像 草 或 树叶 的 。
绿 ||| 绿 ||| 光谱 中 最 中间 的 颜色 ， 在 黄 、 蓝 之间 ， 像 草 或 树叶 的 颜色 。
绿 ||| 绿 ||| 通指 支持 台湾独立 的 政治立场 。
绿 ||| 绿 ||| 形容 比喻 生气 而 脸色 难看 。
绿 ||| 绿 ||| 形容 比喻 受到 惊吓 而 脸部 苍白 。
绿 ||| 绿 ||| 形容 比喻 指数 下跌 。
绿 ||| 绿 ||| 形容 政治立场 支持 台湾独立 的 。
绿 ||| 绿 ||| 形容 植物 长出 新芽 或 新叶 。
小孩子 ||| 人 少儿 ||| 尚未 成年 的 人 。
小孩子 ||| 人 少儿 ||| 儿子 和 女儿 。
离开 ||| 功能词 ||| 结束 原有 的 关系 ， 通常 会 离开 原来 所在 的 地点 。
离开 ||| 功能词 ||| 离开 原来 所在 的 地点 。
离开 ||| 功能词 ||| 聊天 程式 中 的 一种 状态 ， 表示 使用者 目前 离开 。
离开 ||| 功能词 ||| 离开 执行 程式 。
离开 ||| 离开 ||| 比喻 生物 失去 生命 。
原谅 ||| 原谅 ||| 接受 他人 的 过错 ， 并且 不 追究 。
献 ||| 献 ||| 恭敬地 将 事物 给 他人 。
献 ||| 献 ||| 拿出 财物 送给 人 或 团体 ， 不 求 直接 报偿 。
献 ||| 献 ||| 展示 或 表演 作品 给 观众 欣赏 。
赚 ||| 赚 ||| 得到 后 述 利润 。
赚 ||| 赚 ||| 比喻 得到 后 述 好处 。
赚 ||| 赚 ||| 得到 后 述 薪水 。
赚 ||| 赚 ||| 付出 努力 后 得到 。
前方 ||| 前方 ||| 接近 敌人 的 地带 。
前方 ||| 前方 ||| 与 参考 物体 面对 的 方向 相同 的 方向 。
钓 ||| 捉住 水域 农 鱼 ||| 用 连结 着 钩子 的 竿子 或 长线 捕捉 水中 生物 。
钓 ||| 钓 ||| 比喻 利用 特定 方法 吸引 后 述 异性 。
钓 ||| 钓 ||| 比喻 利用 特定 手段 得到 名声 或 利益 。
钓 ||| 钓 ||| 比喻 利用 特定 手段 引诱 后 述 对象 中计 。
钓 ||| 钓 ||| 姓 。
忽略 ||| 忽略 ||| 没有 注意 到 。
难以置信 ||| 难 相信 ||| 前述 的 事实 超乎 预期 ， 很难 令人 相信 。
酒店 ||| 场所 商业 喝 饮品 嗜好 ||| 供 人 饮酒 的 地方 。
酒店 ||| 场所 商业 喝 饮品 嗜好 ||| 卖酒 的 商店 。
酒店 ||| 酒店 ||| 高级 大饭店 。
酒店 ||| 酒店 ||| 卖酒 兼 卖 情色 的 场所 。
排污 ||| 排出 废物 ||| 从 特定 主体 中 释出 有 污垢 杂质 的 流体 或 物质 。
定型 ||| 定型 ||| 归类 。
定型 ||| 定型 ||| 形容 把 外型 固定 下来 。
定型 ||| 定型 ||| 形容 固定 的 。
定型 ||| 定型 ||| 形容 内容 形式 已经 固定 下来 的 。
定型 ||| 定型 ||| 形容 前述 对象 稳定下来 不再 变化 。
好好 ||| 优质 ||| 形容 情况 正常 完好 。
好好 ||| 好好 ||| 形容 全心全意 的 做 特定 事件 。
呦呦 ||| 声 发声 走兽 ||| 模拟 鹿 的 叫声 。
呦呦 ||| 声 发声 走兽 ||| 台湾 知名 景观 雕塑家 与 环境 设计 家 杨英风 的 字 。
得知 ||| 得知 ||| 获得 讯息 。
吟 ||| 吟 ||| 低声 发出声音 。
吟 ||| 吟 ||| 清晰 且 有 韵律 地念出 韵文 的 内容 。
吟 ||| 吟 ||| 姓 。
吟 ||| 吟 ||| 一种 诗体 的 名称 。
诡异 ||| 诡异 ||| 形容 因 超乎寻常 、 无法 理解 而 令人不安 。
世 ||| 时间 ||| 外国人 命名 系统 中 沿用 祖先 名字 时 ， 用于 区分 前后 顺序 的 指称 。
世 ||| 时间 ||| 地质年代 分类单位 的 一种 ， 在纪 之下 ， 期 之上 。
世 ||| 时间 终生 ||| 所 描述 的 前述 时代 。
世 ||| 时间 ||| 计算 宗族 关系 中 所有 与其 始祖 的 距离 相同 的 人 所 组成 的 团体 的 单位 。
世 ||| 时间 ||| 三十年 的 时间 。
世 ||| 时间 ||| 形容 非 亲属关系 中 已有 好几代 交情 的 。
世 ||| 时间 ||| 宗族 关系 中 所有 与其 始祖 的 距离 相同 的 人 所 组成 的 团体 。
世 ||| 地方 世界 ||| 全体 人类 社会 。
世 ||| 地方 世界 ||| 同一 灵性 存在物 在 转世 轮回 中 的 先后顺序 。
世 ||| 世 ||| 计算 一次 师承 关系 的 单位 。
世 ||| 世 ||| 计算 一次 转世 轮回 的 单位 。
世 ||| 世 ||| 形容 世代相传 的 身份 或 头衔 。
世 ||| 世 ||| 姓 。
过目 ||| 查 ||| 检视 。
过目 ||| 过目 ||| 很快 地 看过 一遍 。
眸 ||| 部件 眼 动物 ||| 动物 的 视觉器官 。
铁口直断 ||| 铁口直断 ||| 在 事件 还 未 发生 前 说出 绝对 的 预测 。
皿 ||| 皿 ||| 盛装 物体 的 小型 容器 。
拦截 ||| 拦截 ||| 比喻 妨碍 特定 事件 进行 使 其 不 顺利 。
拦截 ||| 拦截 ||| 阻止 特定 对象 的 前进 。
引以为惕 ||| 引以为惕 ||| 形容 比喻 以 前述 负面 对象 作为 警惕 。
逝 ||| 死 ||| 比喻 特定 时段 成为 过去 。
逝 ||| 消失 ||| 比喻 特定 感觉 消失 。
逝 ||| 逝 ||| 比喻 生物 失去 生命 。
逝 ||| 逝 ||| 比喻 特定 对象 离开 说话 者 的 视线 范围 。
逝 ||| 逝 ||| 水体 往 离开 说话 者 的 视线 的 方向 移动 。
避免 ||| 回避 ||| 避免 经历 后 述 事件 ， 通常 用于 负面 事件 。
水域 ||| 水域 ||| 覆盖 地球表面 固定 区域 的 水 。
清晰 ||| 清晰 ||| 形容 感官 上 明显 容易 辨识 。
清晰 ||| 清晰 ||| 形容 认知 的 内容 容易 明确 。
运作 ||| 活动 ||| 机器 运转 。
运作 ||| 运作 ||| 机构 组织 进行 工作 。
答应 ||| 同意 ||| 同意 他人 的 要求 。
答应 ||| 答 ||| 回应 他人 的 招呼 或 言语 。
由 ||| 功能词 ||| 让 后述 对象 凭 自己 的 意愿 决定 。
由 ||| 功能词 ||| 引介 比喻 情感 的 来源 。 常 与 ‘ 心 ’ 连用 。
由 ||| 功能词 ||| 引介 评论 的 观点 或 角度 。
由 ||| 功能词 ||| 事情 的 原因 。
由 ||| 功能词 ||| 引介 后 述 陈述 的 证据 来源 。
由 ||| 功能词 ||| 引介 事件 发生 的 路径 起点 。
由 ||| 功能词 ||| 引介 事件 发生 的 时间 起点 。
由 ||| 由 ||| 引介 后 述 事件 施事者 。
由 ||| 由 ||| 引介 来源 。
由 ||| 由 ||| 引介 路径 。
由 ||| 由 ||| 引介 起始 范围 。
由 ||| 由 ||| 引介 起始 状态 。
喉咙 ||| 部件 部件 口 动物 ||| 下巴 以下 ， 锁骨 以上 ， 连接 口 、 鼻腔 与 胸腔 的 呼吸道 及 消化道 部分 。
喉咙 ||| 部件 部件 口 动物 ||| 与 脸 方向 相同 ， 位于 下巴 以下 ， 锁骨 以上 的 身体 部位 。
喉咙 ||| 部件 部件 口 动物 ||| 位于 喉部 的 发声器官 。
喉咙 ||| 部件 部件 口 动物 ||| 比喻 表达意见 的 管道 。
费用 ||| 费用 ||| 用于 换取 等值 特定 对象 的 金钱 。
吴凤 ||| 吴凤 ||| 清朝 人 ， 字元辉 ， 乾隆年间 ， 曾任 阿里山 通 事 。
有时 ||| 有时 ||| 表 事件 不 定时 发生 。
淫 ||| 淫 ||| 形容 比喻 牵涉 色情 的 。
淫 ||| 淫 ||| 形容 超过 适当 的 限度 。
淫 ||| 淫 ||| 形容 行为 举止 或 特质 容易 使人 产生 情色 联想 的 。
时常 ||| 时常 ||| 表 次数 很多 ， 用于 对 事件 规律性 的 描述 。
上学 ||| 学习 教育 ||| 进入 特定 学校 系统 开始 接受 教育 。
上学 ||| 学习 教育 ||| 在 正规 学校 系统 接受 教育 。
奔放 ||| 奔放 ||| 形容 情感 尽情 流露 ， 不 受 拘束 。
即使 ||| 功能词 ||| 连接 退让 的 假设 条件 。
理 ||| 知识 物质 ||| 大学 中 教授 物理 知识 的 教学研究 单位 。 物理系 所 的 简省 。
理 ||| 知识 物质 ||| 研究 物体 的 性质 、 状态 、 运动 等 变化 的 知识 。
理 ||| 知识 物质 ||| 自然科学 。
理 ||| 整理 ||| 为 动物 修剪 毛发 。
理 ||| 整理 ||| 专指 为 男子 修剪 头发 。
理 ||| 知识 物质 ||| 能为 众人 所 接受 的 事物 运作 规范 。
理 ||| 理 ||| 比喻 使 抽象 事物 有条理 、 不 杂乱 。
理 ||| 理 ||| 对 规范 或 他人 的 言语 或 行为 表示 态度 或 意见 。
理 ||| 理 ||| 将 事物 弄成 有 秩序 、 美观 的 状态 。
理 ||| 理 ||| 经营 管理 。
理 ||| 理 ||| 姓 。
次 ||| 动量 事件 事情 ||| 动作 或 事件 重复 出现 的 次数 。
次 ||| 次序 实体 事件 ||| 事件 或 时间 顺序 在 参考点 之后 。
次 ||| 次序 实体 事件 ||| 顺序 。
次 ||| 次序 实体 事件 ||| 形容 顺序 排 在 第二 的 。
次 ||| 动量 事件 事情 ||| 计算 事件 发生 的 次数 的 单位 。
次 ||| 次序 实体 事件 ||| 前述 的 空间 范围 。
次 ||| 次 ||| 形容 品质 较差 的 。
次 ||| 次 ||| 形容 依 顺序排列 。
次 ||| 次 ||| 职位 。
追求 ||| 示爱 交往 爱恋 ||| 男女 在 正式 交往 前 追求 对方 。
追求 ||| 示爱 交往 爱恋 ||| 把握 时机 追求 后 述 趋势 、 潮流 。
追求 ||| 追求 ||| 查证 或 寻找 特定 事物 的 真相 或 来源 。
追求 ||| 追求 ||| 以 积极 的 行动 来 达到 特定 目的 。
济公 ||| 济公 ||| 民间传说 或 信仰 中 的 人 。 相传 平日 嗜食 酒肉 ， 不 守 戒律 ， 举止 如痴 似狂 。
采访 ||| 问 新闻 ||| 以 访问 的 方式 搜集 采访 的 内容 和 呈现出 的 结果 。
采访 ||| 问 新闻 ||| 以 访问 的 方式 搜集 新闻 材料 。
查获 ||| 寻 得到 ||| 经 调查 后 而 获得 违法 的 事证 。
冷 ||| 感知 冷 ||| 形容 温度 低 或 感觉 温度 低 的 。
冷 ||| 感知 冷 ||| 形容 比喻 让 人 产生 凉爽 温度 感 的 ， 用于 颜色 。
冷 ||| 功用值 偶尔 ||| 形容 比喻 很少 人 使用 或 喜欢 的 。
冷 ||| 感知 冷 ||| 使 物体 释出 热量 而 降低 温度 。
冷 ||| 感知 冷 ||| 形容 温度 降低 的 。
冷 ||| 姓 ||| 形容 比喻 灰心 、 失望 的 。 常 与 ‘ 心 ’ 连用 。
冷 ||| 姓 ||| 姓 。
冷 ||| 冷 ||| 形容 比喻 不 热烈 的 。
冷 ||| 冷 ||| 形容 比喻 不 热情 的 。
冷 ||| 冷 ||| 形容 比喻 带有 讽刺 语气 的 。
冷 ||| 冷 ||| 形容 比喻 关系 或 感情 不佳 的 。
冷 ||| 冷 ||| 形容 比喻 理性 客观 的 。
冷 ||| 冷 ||| 形容 比喻 少 。
冷 ||| 冷 ||| 形容 比喻 因 不合逻辑 的 言语 或 行为 而 造成 趣味 的 。
在一起 ||| 在一起 ||| 形容 成为 配偶 。
甩 ||| 摆动 ||| 高速行驶 的 交通工具 转弯 时以 特定 方式 使 车尾 摆动 。 常 与 ‘ 尾 ’ 连用 。
甩 ||| 摆动 ||| 沿着 特定 运动 路径 摆动 身体 部位 或 物体 。
甩 ||| 甩 ||| 比喻 摆脱 忽略 特定 对象 。
甩 ||| 甩 ||| 比喻 对 规范 或 他人 的 言语 或 行为 表示 态度 或 意见 。
甩 ||| 甩 ||| 比喻 在 进度 或 程度 上 领先 特定 对象 。
甩 ||| 甩 ||| 比喻 主动 与 交往 对象 结束 原有 的 爱情 关系 。
甩 ||| 甩 ||| 大幅度 移动 手臂 以 手掌 打 特定 对象 的 脸 。
甩 ||| 甩 ||| 以手 用力 关门 或 关窗 。
甩 ||| 甩 ||| 主事者 挥动 手臂 使 特定 物体 离开 手部 往施力 方向 运动 。
塌 ||| 跌倒 ||| 特定 物体 倒塌 ， 通常 是 建筑物 。
塌 ||| 塌 ||| 比喻 特定 对象 运作 失败 。
塌 ||| 塌 ||| 放松 身体 ， 把 重量 由 物体 或 他人 支撑 。
塌 ||| 塌 ||| 形容 过度 疲劳 而 缺乏 力气 或 能量 。
塌 ||| 塌 ||| 形容 物体 外观 的 饱满 程度 比 参考 对象 差 。
塌 ||| 塌 ||| 形容 物体 外观 的 饱满 程度 变差 。
整 ||| 使动 ||| 将 事物 弄成 有 秩序 、 美观 的 样子 ， 多指 仪容 外表 。
整 ||| 精确 ||| 时间 或 金额 刚好 达到 特定 整数 。
整 ||| 损害 ||| 作弄 、 欺负 他人 。
整 ||| 整 ||| 事物 的 全体 。
整 ||| 整 ||| 形容 有 秩序 或 规律 的 。
赞赏 ||| 赞成 ||| 赞美 欣赏 。
据闻 ||| 功能词 ||| 表后述 消息 是从 他人 那里 听来 的 。
相干 ||| 有关 ||| 与 前述 对象 有 关系 ， 常用 于 否定句 。
人民公社 ||| 机构 中国 ||| 中国 农村 实行 的 政社 合一 的 组织 形式 （ 1958 ～ 1984 ） 。
乏 ||| 乏 ||| 所 需要 的 特定 对象 不 足够 。
乏 ||| 乏 ||| 形容 特定 对象 可 发挥 的 作用 已经 用尽 。
乏 ||| 乏 ||| 形容 体力 消耗 过多 。
乏 ||| 乏 ||| 预期 的 特定 对象 不 存在 。
积极 ||| 正面 ||| 形容 具有 正面 意义 有助于 事件 发展 的 。
积极 ||| 积极 ||| 形容 主动 并 努力 做 后述 事件 。
口头 ||| 形状值 说 ||| 表以 口语 的 方式 表达 。
口头 ||| 形状值 说 ||| 以 口语 为 媒介 的 表达方式 。
合同 ||| 文书 约定 ||| 各方 当事人 所 订立 的 具 法律效力 的 文件 。
水果 ||| 水果 ||| 含有 水分 且 可生 吃 的 植物 果实 。
绑 ||| 绑 ||| 比喻 利用 特定 感情 因素 限制 后 述 对象 的 行为 。
绑 ||| 绑 ||| 比喻 以 特定 规范 限制 后 述 对象 的 行为 。
绑 ||| 绑 ||| 比喻 在 后述 期限内 不得 任意 终止 契约 。
绑 ||| 绑 ||| 将条 状物 互相 缠绕 成结 ， 通常 有 固定 或 装饰 作用 。
绑 ||| 绑 ||| 将 头发 缠绕 或 编织成 特定 发型 。
绑 ||| 绑 ||| 前述 对象 的 头发 处于 后 述 经过 编织 或 缠绕 的 状态 。
绑 ||| 绑 ||| 挟持 人质 以 勒索 赎金 。
绑 ||| 绑 ||| 以条 状物 缠绕 并 将 特定 物体 固定 在 其他 物体 上 。
钢 ||| 金属 ||| 主要 为 铁 和 碳 的 合金 ， 次要 为 镁 ， 为 工业 上 重要 的 材料 。
钢 ||| 金属 ||| 制造 钢铁 的 公司 。 ‘ 钢铁公司 ’ 的 简省 。
击 ||| 攻打 军 ||| 对 后述 目标 物 发射 武器 。
击 ||| 攻打 军 ||| 主动 对 敌人 进行 武力 行动 。
击 ||| 打 ||| 挥棒 、 挥 拍 或 挥 竿 的 特定 球类运动 。
击 ||| 打 ||| 手 或 脚 拍打 水面 ， 以 激起 水花 或 得到 反作用力 。
击 ||| 撞 ||| 很 用力 地 碰到 或 碰 在 一起 。
击 ||| 撞 ||| 以手 施力 使手 或 手持 物 撞击 特定 对象 。
击 ||| 击 ||| 按 滑鼠 键 进行 指令 。
击 ||| 击 ||| 比喻 采取 具 侵略性 并 可能 造成 伤害 的 行动 。 常 与 ‘ 一 ’ 连用 。
击 ||| 击 ||| 比喻 在 特定 系列 中 的 事件 进行 中 的 一个 活动 。
击 ||| 击 ||| 计算 击出 球 的 次数 的 单位 。
击 ||| 击 ||| 特定 物体 落 在 特定 对象 上 ， 使 其 感到 疼痛 或 受到 伤害 。
击 ||| 击 ||| 以 手指 或 手持 器具 在 弦乐器 或 打击乐器 上 演奏 音乐 。
假设 ||| 功能词 ||| 对 客观 的 事物 ， 所 提出 的 推测 。
假设 ||| 功能词 ||| 以后 述 陈述 做 为 推测 依据 。
假设 ||| 功能词 ||| 形容 凭空 构想 的 。
伪 ||| 人 非正统 背叛 ||| 形容 强调 说话 者 对 后述 描述 内容 的 否定 ， 修辞 上 常用 来 指出 他人 对 该 内容 的 误用 。
伪 ||| 人 非正统 背叛 ||| 形容 不 具有 实际 功能 与 身份 ， 是 伪装 的 。
伪 ||| 伪 ||| 假 的 对象 。
伪 ||| 人 非正统 背叛 ||| 形容 经过 整型手术 而 改变 器官 外貌 的 。
伪 ||| 伪 ||| 形容 不 符合 客观事实 而 捏造 的 ， 通常 有 欺骗 的 意图 。
伪 ||| 伪 ||| 形容 特定 主权 是 用 不 正当 的 手段 取得 的 。
伪 ||| 伪 ||| 形容 未 经过 品牌 验证 或 授权 而 仿造 的 。
伪 ||| 伪 ||| 形容 物质 非 自然 生成 ， 而是 人工合成 的 。
体育 ||| 事务 教 体格 教育 ||| 大学 中 教授 体育 知识 的 教学研究 单位 。 体育系 所 的 简省 。
体育 ||| 事情 锻炼 体育 ||| 以 发展 体力 、 增强体质 为主 的 教育 ， 通常 包含 各种 运动 项目 。
粘 ||| 粘 ||| 比喻 一直 想 在 后述 对象 身边 或 和 其 保持 密切联系 。
粘 ||| 粘 ||| 比喻 在 竞赛 中 维持 很小 的 差距 。
粘 ||| 粘 ||| 比喻 在 特定 球类运动 中 防守 时 紧密 随着 对手 移动 。
粘 ||| 粘 ||| 诗句 中上 一联 的 对 句 与 下 一联 的 出句 有 相同 平仄 的 状态 。
粘 ||| 粘 ||| 形容 比喻 棒球 比赛 中 打者 一直 击出 界外球 ， 通常 为了 不 出局 。
粘 ||| 粘 ||| 形容 比喻 一直 想 在 后述 对象 身边 或 和 其 保持 密切联系 。
粘 ||| 粘 ||| 形容 比喻 在 竞赛 中 维持 很小 的 差距 。
粘 ||| 粘 ||| 形容 比喻 在 特定 球类运动 中 防守 时 紧密 随着 对手 移动 。
粘 ||| 粘 ||| 形容 具有 黏性 的 。
粘 ||| 粘 ||| 姓 。
粘 ||| 粘 ||| 以胶 、 类似 物质 或 特定 方式 使 特定 物体 附著于 后述 物体 上 。
嗲 ||| 嗲 ||| 形容 动作 姿态 娇柔 具有 女性 特质 。
嗲 ||| 嗲 ||| 形容 说话 声音 小且 娇柔 的 。
断 ||| 决定 ||| 比喻 做出 明确 的 最后 决定 。
断 ||| 停做 供 ||| 比喻 停止 提供 原有 的 供给 。
断 ||| 形变 折断 ||| 长 型 物体 特定 部位 裂开 ， 与 主体 分离 。
断 ||| 形变 折断 ||| 用 外力 使长型 物体 特定 部位 裂开 ， 与 主体 分离 。
断 ||| 停做 供 ||| 比喻 停止 进行 后述 使 人 上瘾 的 习惯 或 嗜好 。
断 ||| 停做 供 ||| 比喻 原本 持续 进行 的 特定 事件 停止 。
断 ||| 停做 供 ||| 比喻 原有 的 供给 不再 继续 。
断 ||| 决定 ||| 表 确定 没有 疑问 。
断 ||| 断 ||| 比喻 不再 有 后述 想法 。
李 ||| 水果 ||| 李树 果实 所 腌渍 成 的 蜜饯 。
李 ||| 水果 ||| 落叶乔木 ， 叶为 倒 披 针形 ， 在 三 、 四月 开花 ， 白色 花瓣 五片 ， 果实 为 椭圆形 ， 味酸 可食 ， 可 腌制 成 多种 蜜饯 。
李 ||| 姓 ||| 姓 。
李 ||| 李 ||| 李树 的 果实 。
横 ||| 部件 文字 ||| 使 决心 坚定 且 不计 代价 。 常用 ‘ 把 心 一 … ’ 。
横 ||| 部件 文字 ||| 把 直立 的 物体 放平 。
横 ||| 部件 文字 ||| 书写 笔画 的 一种 ， 呈 由 左 往右 的 直线 。
横 ||| 部件 文字 ||| 斜眼看人 露出 眼白 ， 通常 表示 不满 。 常用 ‘ 横 … 一眼 ’ 。
横 ||| 部件 文字 ||| 表从 距离 较长 的 方向 穿越 特定 规模 大 的 地理 区域 。
横 ||| 部件 文字 ||| 表 顺着 物体 短边 的 方向 。
横 ||| 部件 文字 ||| 存在 的 物体 位置 在 观察者 的 横向 。
横 ||| 部件 文字 ||| 形容 比喻 同一 时代 中 涵盖 不同 区域 的 。
横 ||| 方向性他移 横 ||| 横向 的 直线 。
横 ||| 暴 ||| 形容 放肆 、 粗暴 、 不讲理 的 。
横 ||| 部件 文字 ||| 表 没有 特定 方向 。
横 ||| 部件 文字 ||| 表以 说话 者 为 参考点 ， 由右 到 左 或 由 左到 右 的 方向 。
横 ||| 部件 文字 ||| 表与 后述 对象 的 通行 方向 垂直 。
横 ||| 部件 文字 ||| 形容 比喻 在 阶层 上 没有 上下 关系 的 。
横 ||| 部件 文字 ||| 形容 以 说话 者 为 参考点 ， 由右 到 左 或 由 左到 右 的 方向 。
横 ||| 横 ||| 形容 后 述 事件 不 在 预期 之中 发生 ， 通常 用于 负面 。
汲汲 ||| 汲汲 ||| 表 急切 地 求取 后 述 对象 。
台北 ||| 地方 市 中国 专 ||| 台北 的 文化 。
台北 ||| 地方 市 中国 专 ||| 台北 都会区 。
台北 ||| 地方 市 中国 专 ||| 代表 台湾 的 政府 。
台北 ||| 地方 市 中国 专 ||| 治理 台北市 的 地方 政府 。
台北 ||| 台北 ||| 专指 台北市 。
上海 ||| 地方 市 中国 专 ||| 治理 上海 的 地方 政府 。
上海 ||| 地方 市 中国 专 ||| 中国 城市 名 ， 位于 东部 沿海 的 港口 ， 有 东方明珠 之称 。
上海 ||| 地方 市 中国 专 ||| 上海 的 文化 。
